leaf_id,exclusion_type,reason,notes
leaf_citypack_feedback_received,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_citypack_feedback_usage,shell_only_not_for_apply,missing_binding_source | shell_only | unresolved_placeholder,shellをapply対象から除外
leaf_free_retrieval_empty_reply,blocked_apply,binding_contract_required | unresolved_placeholder | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_free_style_checklist,shell_only_not_for_apply,ellipsis_placeholder | runtime_semantic_fill_required | shell_only,shellをapply対象から除外
leaf_free_style_coach,shell_only_not_for_apply,ellipsis_placeholder | runtime_semantic_fill_required | shell_only,shellをapply対象から除外
leaf_free_style_quick,shell_only_not_for_apply,ellipsis_placeholder | runtime_semantic_fill_required | shell_only,shellをapply対象から除外
leaf_free_style_timeline,shell_only_not_for_apply,ellipsis_placeholder | runtime_semantic_fill_required | shell_only,shellをapply対象から除外
leaf_free_style_weekend,shell_only_not_for_apply,ellipsis_placeholder | runtime_semantic_fill_required | shell_only,shellをapply対象から除外
leaf_line_renderer_deeplink_generic,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_line_renderer_deeplink_with_url,blocked_apply,binding_contract_required | weak_contract | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_line_renderer_overflow_summary,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_line_renderer_render_failure,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_line_renderer_service_ack,blocked_apply,keyed_variant_missing | mixed_state_text | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_notification_body_default,blocked_apply,format_placeholder_only | weak_contract | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_notification_textmode_cta_join,blocked_apply,format_placeholder_only | weak_contract | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_paid_conversation_format_shell,shell_only_not_for_apply,runtime_semantic_fill_required | shell_only,shellをapply対象から除外
leaf_paid_finalizer_fallback,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_paid_finalizer_refuse,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_paid_readiness_clarify_default,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_paid_readiness_hedge_suffix,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_paid_readiness_refuse_default,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_paid_reply_guard_defaults,ready_after_binding_contract,binding_contract_required,binding contract固定後に再判定
leaf_region_prompt_or_validation,blocked_apply,keyed_variant_missing | mixed_state_text | weak_contract | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_region_state_ack,blocked_apply,keyed_variant_missing | mixed_state_text | weak_contract | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_task_flex_buttons,blocked_apply,keyed_variant_missing | mixed_state_text | weak_contract | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_task_flex_labels,blocked_apply,keyed_variant_missing | mixed_state_text | weak_contract | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_webhook_consent_state_ack,blocked_apply,keyed_variant_missing | mixed_state_text | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_webhook_direct_command_ack,blocked_apply,keyed_variant_missing | mixed_state_text | weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_webhook_guard_missing_reply_fallback,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_webhook_low_relevance_clarify,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_webhook_readiness_clarify,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_webhook_readiness_refuse,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_webhook_retrieval_failure_fallback,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_webhook_synthetic_ack,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
leaf_welcome_message,blocked_apply,weak_test_anchor,tests/contract/bindingを補強して再判定
