leaf_id,draft_status,parent_g3_unit_id,parent_g4_group_id,output_shape,primary_route,audience_type,safety_role,generation_mode,human_review_required,primary_text_or_label_summary,notes
leaf_free_retrieval_empty_reply,draft_ready,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,fallback_text,POST /webhook/line free retrieval,end_user,fallback,SAFE_ONLY,false,"<title> に一致する情報が見つかりませんでした。
キーワードを短くして再検索する
都市名/期限/手続き名を追加して再送する
対象手続きと期限が曖昧なまま再検索すると候補が広がります。
都市名・期限・手続き名を1つずつ教えてください。
不明点は運用窓口へお問い合わせください。",答えられない理由 + 次に必要な入力の方向だけに絞っています。
leaf_free_style_quick,draft_ready,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,plain_text_answer,POST /webhook/line free retrieval,end_user,faq,SAFE_ONLY,false,"まずこの順です。
つまずきやすい点: ...
確認: ...
1. 手続きを1つだけ指定してください。
状況の特定に必要な情報が不足しています。
手続き名と期限が曖昧なまま進めることです。",2-5文相当の単一メッセージとして保持し、shell lines のみで閉じています。
leaf_free_style_coach,draft_ready,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,plain_text_answer,POST /webhook/line free retrieval,end_user,faq,SAFE_ONLY,false,"この順で進めると迷いにくいです。
注意点: ...
確認したい点: ...
- まず対象手続きを1つ確定してください。
状況の特定に必要な情報が不足しています。
手続き名と期限が曖昧なまま進めることです。",2-5文相当の単一メッセージとして保持し、shell lines のみで閉じています。
leaf_free_style_checklist,draft_ready,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,plain_text_answer,POST /webhook/line free retrieval,end_user,faq,SAFE_ONLY,false,"チェックリスト:
見落としやすい点: ...
確認事項: ...
- [ ] 対象手続きを1つ決める
状況の特定に必要な情報が不足しています。
手続き名と期限が曖昧なまま進めることです。",2-5文相当の単一メッセージとして保持し、shell lines のみで閉じています。
leaf_free_style_timeline,draft_ready,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,plain_text_answer,POST /webhook/line free retrieval,end_user,faq,SAFE_ONLY,false,"タイムラインで整理します。
遅れやすい点: ...
期限確認: ...
1. 手続きを1つだけ指定してください。
状況の特定に必要な情報が不足しています。
手続き名と期限が曖昧なまま進めることです。",2-5文相当の単一メッセージとして保持し、shell lines のみで閉じています。
leaf_free_style_weekend,draft_ready,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,plain_text_answer,POST /webhook/line free retrieval,end_user,faq,SAFE_ONLY,false,"候補は次の通りです。
よくある失敗: ...
好みに合わせる確認: ...
- まず対象手続きを1つ確定してください。
状況の特定に必要な情報が不足しています。
手続き名と期限が曖昧なまま進めることです。",2-5文相当の単一メッセージとして保持し、shell lines のみで閉じています。
leaf_paid_conversation_format_shell,draft_ready,g3_paid_conversation_format_unit,g4_assistant_paid_format_registry_slot,plain_text_answer,POST /webhook/line paid finalization,end_user,faq,SAFE_ONLY,false,"いまの状況を短く整理します。
まずは次の一手です:
多くの人が詰まりやすいのは <pitfall>。
<gap> の認識で進めてもよいですか？",2-5文相当の単一メッセージとして保持し、shell lines のみで閉じています。
leaf_paid_reply_guard_defaults,draft_ready,g3_paid_conversation_format_unit,g4_assistant_paid_format_registry_slot,fallback_text,POST /webhook/line paid finalization,end_user,fallback,SAFE_ONLY,false,"状況を整理しながら進めましょう。
まず最優先で進めたい手続きを1つ教えてください。
まずは次の一手です。
多くの人が詰まりやすいのは <pitfall>。",答えられない理由 + 次に必要な入力の方向だけに絞っています。
leaf_paid_readiness_clarify_default,draft_ready,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,clarify_prompt,paid orchestrator,end_user,warning,SAFE_ONLY,false,まず対象手続きと期限を1つずつ教えてください。そこから案内を具体化します。,必要な情報を 1-3 論点で聞く形に固定しています。
leaf_paid_readiness_refuse_default,draft_ready,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,refuse_text,paid orchestrator,end_user,warning,SAFE_ONLY,false,この内容は安全に断定できないため、公式窓口での最終確認をお願いします。必要なら確認ポイントを一緒に整理します。,安全上の断定回避と確認先だけに留めています。
