leaf_id,current_apply_class,final_partition,closure_class,primary_blocker,all_blockers,why_primary
leaf_citypack_feedback_received,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_citypack_feedback_usage,copy_shell_only,shell_only_not_for_apply,human_policy_freeze_required,mixed_blocker,mixed_blocker | weak_exact_string_anchor | weak_output_shape_anchor | weak_route_contract_anchor | binding_missing_only,shell / binding / anchor が同時に未閉塞で、1種類の closure では足りません。
leaf_free_retrieval_empty_reply,parameterized_apply_candidate,blocked_apply,codex_binding_closure_candidate,binding_missing_only,binding_missing_only | weak_exact_string_anchor | weak_output_shape_anchor,binding source は観測済みか近接観測済みだが、token contract 未凍結のため昇格できません。
leaf_free_style_checklist,copy_shell_only,shell_only_not_for_apply,gpt_reauthoring_required,shell_requires_reauthoring,shell_requires_reauthoring | weak_exact_string_anchor | weak_output_shape_anchor,current draft が shell であり final user wording ではありません。
leaf_free_style_coach,copy_shell_only,shell_only_not_for_apply,gpt_reauthoring_required,shell_requires_reauthoring,shell_requires_reauthoring | weak_exact_string_anchor | weak_output_shape_anchor,current draft が shell であり final user wording ではありません。
leaf_free_style_quick,copy_shell_only,shell_only_not_for_apply,gpt_reauthoring_required,shell_requires_reauthoring,shell_requires_reauthoring | weak_output_shape_anchor,current draft が shell であり final user wording ではありません。
leaf_free_style_timeline,copy_shell_only,shell_only_not_for_apply,gpt_reauthoring_required,shell_requires_reauthoring,shell_requires_reauthoring | weak_exact_string_anchor | weak_output_shape_anchor,current draft が shell であり final user wording ではありません。
leaf_free_style_weekend,copy_shell_only,shell_only_not_for_apply,gpt_reauthoring_required,shell_requires_reauthoring,shell_requires_reauthoring | weak_exact_string_anchor | weak_output_shape_anchor,current draft が shell であり final user wording ではありません。
leaf_line_renderer_deeplink_generic,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_line_renderer_deeplink_with_url,parameterized_apply_candidate,blocked_apply,human_policy_freeze_required,weak_exact_string_anchor,weak_exact_string_anchor | binding_missing_only | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_line_renderer_overflow_summary,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_line_renderer_render_failure,literal_apply_candidate,blocked_apply,codex_test_anchor_closure_candidate,weak_exact_string_anchor,weak_exact_string_anchor | weak_route_contract_anchor,文面自体はあるが exact-string anchor 不足を無視して ready にできません。
leaf_line_renderer_service_ack,keyed_variant_candidate,blocked_apply,codex_variant_closure_candidate,variant_key_missing_only,variant_key_missing_only | weak_exact_string_anchor | weak_route_contract_anchor,alternate texts は観測済みだが、state key が未凍結です。
leaf_notification_body_default,blocked_apply,blocked_apply,human_policy_freeze_required,format_placeholder_only,format_placeholder_only | weak_exact_string_anchor | weak_route_contract_anchor,format fallback を user-facing literal と誤認できないためです。
leaf_notification_textmode_cta_join,blocked_apply,blocked_apply,human_policy_freeze_required,format_placeholder_only,format_placeholder_only | weak_exact_string_anchor | weak_route_contract_anchor,format fallback を user-facing literal と誤認できないためです。
leaf_paid_conversation_format_shell,copy_shell_only,shell_only_not_for_apply,gpt_reauthoring_required,shell_requires_reauthoring,shell_requires_reauthoring | weak_exact_string_anchor | weak_output_shape_anchor,current draft が shell であり final user wording ではありません。
