leaf_id,route_name,route_path_or_symbol,selector_stage,decision_node,output_shape,runtime_truth,notes
leaf_faq_admin_disclaimer,g3_faq_admin_answer_unit,POST /api/admin/llm/faq/answer,"getDisclaimer(purpose, { policy }) resolves purpose-specific disclaimer | faq path uses purpose=faq",purpose | llmPolicy.disclaimer_templates,disclaimer_block,reachable,
leaf_faq_admin_block_actions,g3_faq_admin_answer_unit,POST /api/admin/llm/faq/answer,answerFaqFromKb blocked paths call buildFallbackActions() | actionKey open_official_faq maps to 公式FAQを見る,blocked_reason | allowedSourceIds | requiredContactSourceIds,unknown_shape,reachable,Output shape remains HTTP JSON action-label array rather than LINE-native buttons.
leaf_faq_admin_readiness_clarify,g3_faq_admin_answer_unit,POST /api/admin/llm/faq/answer,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,clarify_prompt,reachable,
leaf_faq_admin_readiness_refuse,g3_faq_admin_answer_unit,POST /api/admin/llm/faq/answer,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,refuse_text,reachable,
leaf_faq_admin_readiness_hedge,g3_faq_admin_answer_unit,POST /api/admin/llm/faq/answer,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,disclaimer_block,reachable,
leaf_faq_compat_disclaimer,g3_faq_compat_answer_unit,POST /api/phaseLLM4/faq/answer,"getDisclaimer(purpose, { policy }) resolves purpose-specific disclaimer | faq path uses purpose=faq",purpose | llmPolicy.disclaimer_templates,disclaimer_block,reachable,
leaf_faq_compat_block_actions,g3_faq_compat_answer_unit,POST /api/phaseLLM4/faq/answer,answerFaqFromKb blocked paths call buildFallbackActions() | actionKey open_official_faq maps to 公式FAQを見る,blocked_reason | allowedSourceIds | requiredContactSourceIds,unknown_shape,reachable,Output shape remains HTTP JSON action-label array rather than LINE-native buttons.
leaf_faq_compat_readiness_clarify,g3_faq_compat_answer_unit,POST /api/phaseLLM4/faq/answer,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,clarify_prompt,reachable,
leaf_faq_compat_readiness_refuse,g3_faq_compat_answer_unit,POST /api/phaseLLM4/faq/answer,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,refuse_text,reachable,
leaf_faq_compat_readiness_hedge,g3_faq_compat_answer_unit,POST /api/phaseLLM4/faq/answer,applyAnswerReadinessDecision decision=clarify|refuse|hedged|allow | clarifyText/refuseText may be injected by caller; otherwise defaults above apply,decision clarify|refuse|hedged|allow,disclaimer_block,reachable,
leaf_free_retrieval_empty_reply,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,replyWithFreeRetrieval() chooses generateFreeRetrievalReply() | buildEmptyReply() selected when safeFaqCandidates + safeCityPackCandidates length is 0,plan tier | faq candidate count | city pack candidate count,fallback_text,conditionally_reachable,
leaf_free_retrieval_ranked_reply,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,generateFreeRetrievalReply buildRankedReply() selected when sanitized FAQ or CityPack candidates exist | free retrieval path only,plan tier | faq candidate count | city pack candidate count,ranked_answer_with_candidates,conditionally_reachable,
leaf_free_style_quick,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,urgent regex or urgency=high -> Quick | topic=activity -> Weekend,topic | urgency | journeyPhase | messageLength | timeOfDay | askClarifying | maxActions,plain_text_answer,conditionally_reachable,
leaf_free_style_coach,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,urgent regex or urgency=high -> Quick | topic=activity -> Weekend,topic | urgency | journeyPhase | messageLength | timeOfDay | askClarifying | maxActions,plain_text_answer,conditionally_reachable,
leaf_free_style_checklist,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,urgent regex or urgency=high -> Quick | topic=activity -> Weekend,topic | urgency | journeyPhase | messageLength | timeOfDay | askClarifying | maxActions,plain_text_answer,conditionally_reachable,
leaf_free_style_choice,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,urgent regex or urgency=high -> Quick | topic=activity -> Weekend,topic | urgency | journeyPhase | messageLength | timeOfDay | askClarifying | maxActions,plain_text_answer,conditionally_reachable,
leaf_free_style_debug,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,urgent regex or urgency=high -> Quick | topic=activity -> Weekend,topic | urgency | journeyPhase | messageLength | timeOfDay | askClarifying | maxActions,plain_text_answer,conditionally_reachable,
leaf_free_style_timeline,g3_free_retrieval_search_unit,POST /webhook/line free retrieval,urgent regex or urgency=high -> Quick | topic=activity -> Weekend,topic | urgency | journeyPhase | messageLength | timeOfDay | askClarifying | maxActions,plain_text_answer,conditionally_reachable,
