"template_family","runtime_truth","g1_runtime_lane_group","g2_canonical_owner_group","g3_gpt_handoff_group","g4_future_registry_group","merge_policy","audience_type","audience_leak","primary_route","notes"
"faq_disclaimer_templates","reachable","g1_faq_admin_runtime|g1_faq_compat_runtime|g1_paid_safety_layers_runtime","g2_disclaimer_owner","g3_faq_admin_answer_unit|g3_faq_compat_answer_unit|g3_paid_disclaimer_unit","g4_faq_admin_registry_slot|g4_faq_compat_registry_slot|g4_assistant_paid_safety_registry_slot","hard_no_merge","mixed","false","FAQ admin/compat routes -> answerFaqFromKb -> getDisclaimer; paid assistant path -> generatePaidAssistantReply -> getDisclaimer","Counts as preset user-facing text because exact strings are hardcoded and appended or returned directly."
"policy_override_disclaimer_templates","unconfirmed","g1_policy_shadow_runtime","g2_policy_override_owner","g3_policy_override_shadow_unit","g4_policy_shadow_registry_slot","shadow_only","operator","true","opsConfigRepo default LLM policy -> getDisclaimer(policy override) -> FAQ/paid paths if policy loaded","Policy seed copy is source-connected but end-user delivery remains unconfirmed."
"faq_block_action_labels","reachable","g1_faq_admin_runtime|g1_faq_compat_runtime","g2_faq_http_owner","g3_faq_admin_answer_unit|g3_faq_compat_answer_unit","g4_faq_admin_registry_slot|g4_faq_compat_registry_slot","hard_no_merge","mixed","false","FAQ admin/compat route -> answerFaqFromKb blocked result -> fallbackActions -> Admin UI label render","Preset CTA labels are fixed even though suggested FAQ titles are dynamic."
"free_retrieval_empty_reply","conditionally_reachable","g1_line_free_retrieval_runtime","g2_assistant_free_owner","g3_free_retrieval_search_unit","g4_assistant_free_retrieval_registry_slot","hard_no_merge","end_user","false","LINE webhook -> handleAssistantMessage -> replyWithFreeRetrieval -> generateFreeRetrievalReply -> buildEmptyReply","Exact title slot is dynamic; surrounding scaffold is preset."
"free_retrieval_ranked_reply","conditionally_reachable","g1_line_free_retrieval_runtime","g2_assistant_free_owner","g3_free_retrieval_search_unit","g4_assistant_free_retrieval_registry_slot","hard_no_merge","end_user","false","LINE webhook -> handleAssistantMessage -> replyWithFreeRetrieval -> generateFreeRetrievalReply -> buildRankedReply","Exact article ids, titles, and scores are dynamic; scaffold and labels are preset."
"search_kb_replytext_templates","dead_or_test_only","g1_dead_test_shadow_runtime","g2_shadow_not_live_owner","g3_dead_shadow_unit","g4_dead_shadow_registry_slot","shadow_only","unknown","false","searchFaqFromKb helper -> candidates consumed by callers; replyText itself not observed on current user-facing path","Observed helper text exists, but current runtime-connected callers use candidate arrays or newer free retrieval formatter instead of this replyText."
"response_style_templates","conditionally_reachable","g1_line_free_retrieval_runtime","g2_assistant_free_owner","g3_free_retrieval_search_unit","g4_assistant_free_retrieval_registry_slot","hard_no_merge","end_user","false","assistant packet -> styleRouter/selectResponseStyle -> responseStyles renderer -> humanized reply text","This record groups eight preset style families; exact line bodies are fixed but action content inside them can be dynamic."
"free_contextual_followup_domain_answers","conditionally_reachable","g1_line_free_retrieval_runtime","g2_assistant_free_owner","g3_free_contextual_followup_unit","g4_assistant_free_contextual_registry_slot","hard_no_merge","end_user","false","LINE webhook free path -> contextual domain resume -> resolveFreeContextualFollowup -> replyText","Preset short followup answers are domain-specific and can add a question line when needsQuestion is true."
"paid_casual_templates","conditionally_reachable","g1_line_paid_casual_runtime","g2_assistant_paid_casual_owner","g3_paid_casual_unit","g4_assistant_paid_casual_registry_slot","hard_no_merge","end_user","false","LINE webhook paid path -> routeConversation(casual) -> generatePaidCasualReply","This family intentionally includes greeting, smalltalk, intro, generic prompt, followup action lines, and domain direct answers."
"paid_domain_concierge_templates","conditionally_reachable","g1_line_paid_domain_runtime","g2_assistant_paid_domain_owner","g3_paid_domain_answer_unit","g4_assistant_paid_domain_registry_slot","hard_no_merge","end_user","false","LINE webhook paid path -> routeConversation/domain_orchestrator -> generatePaidDomainConciergeReply","not_observed"
"paid_assistant_conversation_format","reachable","g1_line_paid_domain_runtime","g2_assistant_paid_format_owner","g3_paid_conversation_format_unit","g4_assistant_paid_format_registry_slot","hard_no_merge","end_user","false","paid assistant answer generation -> formatPaidReplyConversation -> webhook send","Model-generated semantic content is dynamic; this record inventories only the fixed conversation scaffolding."
"paid_assistant_legacy_structured_format","dead_or_test_only","g1_dead_test_shadow_runtime","g2_shadow_not_live_owner","g3_dead_shadow_unit","g4_dead_shadow_registry_slot","shadow_only","unknown","false","paid assistant answer generation -> formatPaidReply (legacy) -> webhook send if conversation-format flag disabled","Current runtime truth filter classified this family as dead_or_test_only for final user-visible output on main path."
