leaf_id,apply_class_before,apply_class_current,prior_final_partition,current_final_partition,promoted_to,current_primary_reason,next_owner
leaf_free_retrieval_empty_reply,parameterized_apply_candidate,parameterized_apply_candidate,blocked_apply,ready_after_binding_contract,ready_after_binding_contract,binding source frozen and anchored,none
leaf_free_style_quick,copy_shell_only,copy_shell_only,shell_only_not_for_apply,shell_only_not_for_apply,none,shell still not final,gpt
leaf_free_style_coach,copy_shell_only,copy_shell_only,shell_only_not_for_apply,shell_only_not_for_apply,none,shell still not final,gpt
leaf_free_style_checklist,copy_shell_only,copy_shell_only,shell_only_not_for_apply,shell_only_not_for_apply,none,shell still not final,gpt
leaf_free_style_timeline,copy_shell_only,copy_shell_only,shell_only_not_for_apply,shell_only_not_for_apply,none,shell still not final,gpt
leaf_free_style_weekend,copy_shell_only,copy_shell_only,shell_only_not_for_apply,shell_only_not_for_apply,none,shell still not final,gpt
leaf_paid_conversation_format_shell,copy_shell_only,copy_shell_only,shell_only_not_for_apply,shell_only_not_for_apply,none,shell still not final,gpt
leaf_paid_reply_guard_defaults,parameterized_apply_candidate,parameterized_apply_candidate,ready_after_binding_contract,blocked_apply,none,policy freeze pending,human_policy
leaf_paid_readiness_clarify_default,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_paid_readiness_refuse_default,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_paid_readiness_hedge_suffix,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_paid_finalizer_fallback,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_paid_finalizer_refuse,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_webhook_guard_missing_reply_fallback,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_webhook_low_relevance_clarify,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_webhook_retrieval_failure_fallback,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_webhook_readiness_clarify,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_webhook_readiness_refuse,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_webhook_synthetic_ack,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_webhook_consent_state_ack,keyed_variant_candidate,keyed_variant_candidate,blocked_apply,ready_after_variant_keying,ready_after_variant_keying,variant keys frozen and anchored,none
leaf_webhook_direct_command_ack,keyed_variant_candidate,keyed_variant_candidate,blocked_apply,blocked_apply,none,policy freeze pending,human_policy
leaf_welcome_message,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_line_renderer_overflow_summary,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_line_renderer_deeplink_with_url,parameterized_apply_candidate,parameterized_apply_candidate,blocked_apply,blocked_apply,none,policy freeze pending,human_policy
leaf_line_renderer_deeplink_generic,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_line_renderer_service_ack,keyed_variant_candidate,keyed_variant_candidate,blocked_apply,ready_after_variant_keying,ready_after_variant_keying,variant keys frozen and anchored,none
leaf_line_renderer_render_failure,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_notification_body_default,blocked_apply,blocked_apply,blocked_apply,blocked_apply,none,format placeholder still present,human_policy
leaf_notification_textmode_cta_join,blocked_apply,blocked_apply,blocked_apply,blocked_apply,none,format placeholder still present,human_policy
leaf_region_prompt_or_validation,keyed_variant_candidate,keyed_variant_candidate,blocked_apply,ready_after_variant_keying,ready_after_variant_keying,variant keys frozen and anchored,none
leaf_region_state_ack,keyed_variant_candidate,keyed_variant_candidate,blocked_apply,ready_after_variant_keying,ready_after_variant_keying,binding plus variant closure complete,none
leaf_citypack_feedback_received,literal_apply_candidate,literal_apply_candidate,blocked_apply,ready_literal_now,ready_literal_now,test anchors now sufficient,none
leaf_citypack_feedback_usage,copy_shell_only,copy_shell_only,shell_only_not_for_apply,shell_only_not_for_apply,none,shell plus policy freeze pending,human_policy
leaf_task_flex_labels,keyed_variant_candidate,keyed_variant_candidate,blocked_apply,blocked_apply,none,policy freeze pending,human_policy
leaf_task_flex_buttons,keyed_variant_candidate,keyed_variant_candidate,blocked_apply,blocked_apply,none,policy freeze pending,human_policy
