leaf_id,leaf_status,parent_g3_unit_id,parent_g4_group_id,source_template_family,runtime_truth,primary_route,audience_type,audience_leak,safety_role,output_shape,merge_policy_hint,test_anchor_status,notes
leaf_faq_admin_disclaimer,generate,g3_faq_admin_answer_unit,g4_faq_admin_registry_slot,faq_disclaimer_templates,reachable,POST /api/admin/llm/faq/answer,mixed,false,disclaimer,disclaimer_block,hard_no_merge,weak,
leaf_faq_admin_block_actions,generate,g3_faq_admin_answer_unit,g4_faq_admin_registry_slot,faq_block_action_labels,reachable,POST /api/admin/llm/faq/answer,mixed,false,cta,unknown_shape,hard_no_merge,present,Output shape remains HTTP JSON action-label array rather than LINE-native buttons.
leaf_faq_admin_readiness_clarify,generate,g3_faq_admin_answer_unit,g4_faq_admin_registry_slot,answer_readiness_gate_templates,reachable,POST /api/admin/llm/faq/answer,mixed,false,warning,clarify_prompt,hard_no_merge,weak,
leaf_faq_admin_readiness_refuse,generate,g3_faq_admin_answer_unit,g4_faq_admin_registry_slot,answer_readiness_gate_templates,reachable,POST /api/admin/llm/faq/answer,mixed,false,warning,refuse_text,hard_no_merge,weak,
leaf_faq_admin_readiness_hedge,generate,g3_faq_admin_answer_unit,g4_faq_admin_registry_slot,answer_readiness_gate_templates,reachable,POST /api/admin/llm/faq/answer,mixed,false,warning,disclaimer_block,hard_no_merge,weak,
leaf_faq_compat_disclaimer,generate,g3_faq_compat_answer_unit,g4_faq_compat_registry_slot,faq_disclaimer_templates,reachable,POST /api/phaseLLM4/faq/answer,mixed,false,disclaimer,disclaimer_block,hard_no_merge,weak,
leaf_faq_compat_block_actions,generate,g3_faq_compat_answer_unit,g4_faq_compat_registry_slot,faq_block_action_labels,reachable,POST /api/phaseLLM4/faq/answer,mixed,false,cta,unknown_shape,hard_no_merge,present,Output shape remains HTTP JSON action-label array rather than LINE-native buttons.
leaf_faq_compat_readiness_clarify,generate,g3_faq_compat_answer_unit,g4_faq_compat_registry_slot,answer_readiness_gate_templates,reachable,POST /api/phaseLLM4/faq/answer,mixed,false,warning,clarify_prompt,hard_no_merge,weak,
leaf_faq_compat_readiness_refuse,generate,g3_faq_compat_answer_unit,g4_faq_compat_registry_slot,answer_readiness_gate_templates,reachable,POST /api/phaseLLM4/faq/answer,mixed,false,warning,refuse_text,hard_no_merge,weak,
leaf_faq_compat_readiness_hedge,generate,g3_faq_compat_answer_unit,g4_faq_compat_registry_slot,answer_readiness_gate_templates,reachable,POST /api/phaseLLM4/faq/answer,mixed,false,warning,disclaimer_block,hard_no_merge,weak,
leaf_free_retrieval_empty_reply,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,free_retrieval_empty_reply,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,fallback,fallback_text,hard_no_merge,weak,
leaf_free_retrieval_ranked_reply,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,free_retrieval_ranked_reply,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,ranked_answer_with_candidates,hard_no_merge,weak,
leaf_free_style_quick,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,response_style_templates,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,plain_text_answer,hard_no_merge,present,
leaf_free_style_coach,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,response_style_templates,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,plain_text_answer,hard_no_merge,weak,
leaf_free_style_checklist,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,response_style_templates,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,plain_text_answer,hard_no_merge,weak,
leaf_free_style_choice,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,response_style_templates,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,plain_text_answer,hard_no_merge,weak,
leaf_free_style_debug,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,response_style_templates,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,plain_text_answer,hard_no_merge,weak,
leaf_free_style_timeline,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,response_style_templates,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,plain_text_answer,hard_no_merge,weak,
leaf_free_style_weekend,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,response_style_templates,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,plain_text_answer,hard_no_merge,weak,
leaf_free_style_story,generate,g3_free_retrieval_search_unit,g4_assistant_free_retrieval_registry_slot,response_style_templates,conditionally_reachable,POST /webhook/line free retrieval,end_user,false,faq,plain_text_answer,hard_no_merge,weak,
leaf_free_contextual_followup,generate,g3_free_contextual_followup_unit,g4_assistant_free_contextual_registry_slot,free_contextual_followup_domain_answers,conditionally_reachable,POST /webhook/line free contextual followup,end_user,false,faq,plain_text_answer,hard_no_merge,weak,Human review remains required because domain claim boundaries live inside one current family.
leaf_paid_casual,generate,g3_paid_casual_unit,g4_assistant_paid_casual_registry_slot,paid_casual_templates,conditionally_reachable,POST /webhook/line paid casual,end_user,false,fallback,plain_text_answer,hard_no_merge,weak,
leaf_paid_domain_concierge,generate,g3_paid_domain_answer_unit,g4_assistant_paid_domain_registry_slot,paid_domain_concierge_templates,conditionally_reachable,POST /webhook/line paid domain,end_user,false,faq,plain_text_answer,hard_no_merge,present,
leaf_runtime_knowledge_fallback,generate,g3_paid_domain_answer_unit,g4_assistant_paid_domain_registry_slot,runtime_knowledge_fallback_templates,conditionally_reachable,POST /webhook/line paid domain,end_user,false,fallback,fallback_text,hard_no_merge,weak,
leaf_paid_conversation_format_shell,generate,g3_paid_conversation_format_unit,g4_assistant_paid_format_registry_slot,paid_assistant_conversation_format,reachable,POST /webhook/line paid finalization,end_user,false,faq,plain_text_answer,hard_no_merge,weak,
leaf_paid_reply_guard_defaults,generate,g3_paid_conversation_format_unit,g4_assistant_paid_format_registry_slot,paid_reply_guard_defaults,reachable,POST /webhook/line paid finalization,end_user,false,fallback,fallback_text,hard_no_merge,present,
leaf_paid_disclaimer,generate,g3_paid_disclaimer_unit,g4_assistant_paid_safety_registry_slot,faq_disclaimer_templates,reachable,POST /webhook/line paid assistant,end_user,false,disclaimer,disclaimer_block,hard_no_merge,weak,
leaf_paid_readiness_clarify_default,generate,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,answer_readiness_gate_templates,reachable,paid orchestrator,end_user,false,warning,clarify_prompt,hard_no_merge,weak,
leaf_paid_readiness_refuse_default,generate,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,answer_readiness_gate_templates,reachable,paid orchestrator,end_user,false,warning,refuse_text,hard_no_merge,weak,
leaf_paid_readiness_hedge_suffix,generate,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,answer_readiness_gate_templates,reachable,paid orchestrator,end_user,false,warning,disclaimer_block,hard_no_merge,weak,
leaf_paid_safety_core_facts_clarify,generate,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,required_core_facts_domain_clarify,conditionally_reachable,paid orchestrator,end_user,false,clarify,clarify_prompt,hard_no_merge,weak,
leaf_paid_verify_candidate_clarify,generate,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,verify_candidate_clarify_templates,conditionally_reachable,paid orchestrator,end_user,false,clarify,clarify_prompt,hard_no_merge,weak,
leaf_paid_finalizer_fallback,generate,g3_paid_safety_gate_unit,g4_assistant_paid_safety_registry_slot,finalize_candidate_fallback_templates,reachable,paid orchestrator,end_user,false,fallback,fallback_text,hard_no_merge,weak,
