leaf_id,current_final_partition,blocker_category,reason,next_owner
leaf_paid_reply_guard_defaults,blocked_apply,policy_freeze_pending,pitfall omission policy remains unfrozen,human_policy
leaf_line_renderer_deeplink_with_url,blocked_apply,policy_freeze_pending,url binding owner remains unfrozen,human_policy
leaf_webhook_direct_command_ack,blocked_apply,policy_freeze_pending,canonical phase and done key contract remains unfrozen,human_policy
leaf_notification_body_default,blocked_apply,format_placeholder_still_present,bare dash is format shell not final copy,human_policy
leaf_notification_textmode_cta_join,blocked_apply,format_placeholder_still_present,label colon url is format shell not final copy,human_policy
leaf_task_flex_labels,blocked_apply,policy_freeze_pending,title token and slot policy remain unfrozen,human_policy
leaf_task_flex_buttons,blocked_apply,policy_freeze_pending,button optionality and canonical slot policy remain unfrozen,human_policy
leaf_free_style_quick,shell_only_not_for_apply,shell_still_not_final,ellipsis shell requires re-authoring,gpt
leaf_free_style_coach,shell_only_not_for_apply,shell_still_not_final,ellipsis shell requires re-authoring,gpt
leaf_free_style_checklist,shell_only_not_for_apply,shell_still_not_final,ellipsis shell requires re-authoring,gpt
leaf_free_style_timeline,shell_only_not_for_apply,shell_still_not_final,ellipsis shell requires re-authoring,gpt
leaf_free_style_weekend,shell_only_not_for_apply,shell_still_not_final,ellipsis shell requires re-authoring,gpt
leaf_paid_conversation_format_shell,shell_only_not_for_apply,shell_still_not_final,pitfall and gap shell requires re-authoring,gpt
leaf_citypack_feedback_usage,shell_only_not_for_apply,policy_freeze_pending,semantic source of 内容 remains unfrozen,human_policy
