"route_name","route_path_or_symbol","selector_stage","family_or_group","output_surface","runtime_truth","notes"
"faq_admin","POST /api/admin/llm/faq/answer","faq answer + disclaimer + block","g1_faq_admin_runtime","http_json","reachable","Admin FAQ runtime lane"
"faq_compat","POST /api/phaseLLM4/faq/answer","faq answer + disclaimer + block","g1_faq_compat_runtime","http_json","reachable","Compat governance remains distinct"
"line_free_retrieval","POST /webhook/line","free plan gate -> retrieval builders","g1_line_free_retrieval_runtime","line_text","conditionally_reachable","Includes empty, ranked, style, contextual free answers"
"line_paid_casual","POST /webhook/line","paid plan gate -> routeConversation casual","g1_line_paid_casual_runtime","line_text","conditionally_reachable","Paid casual lane"
"line_paid_domain","POST /webhook/line","paid plan gate -> domain/orchestrator","g1_line_paid_domain_runtime","line_text","conditionally_reachable","Paid domain lane"
"paid_safety_layers","paid orchestrator and FAQ readiness","safety gate sequence","g1_paid_safety_layers_runtime","line_text or http_json","reachable and conditionally_reachable","Readiness, core facts, verify, finalizer, disclaimers"
"webhook_top_level","POST /webhook/line","top-level event loop","g1_webhook_top_level_runtime","line_text","reachable","Acknowledgements and top-level fallback"
"journey_task","POST /webhook/line","journey command or postback","g1_task_journey_runtime","line_text or line_flex","reachable and conditionally_reachable","Journey and task interactive lane"
"reminder_notification","internal reminder jobs and notification sender","outbound delivery composition","g1_reminder_notification_runtime","line_text or buttons or flex fallback","reachable and conditionally_reachable","Notification lifecycle lane"
"adjacent_emergency_ops","internal emergency jobs and phase33 ops","adjacent runtime event","g1_adjacent_emergency_ops_runtime","notification or line_text","conditionally_reachable","Separate adjacent runtime"
"policy_shadow","ops config policy path","policy override active","g1_policy_shadow_runtime","http_json_and_line_if_override_active","unconfirmed","Shadow policy lane only"
"dead_test_shadow","legacy or dead helper","legacy or test-only only","g1_dead_test_shadow_runtime","not_observed","dead_or_test_only","Shadow dead-test lane only"
