leaf_id,closure_class,prior_primary_blocker,closure_actions_executed,current_blocker,promotion_occurred,promoted_to,why_not_if_not,remaining_blockers,next_owner
leaf_free_retrieval_empty_reply,codex_binding_closure_candidate,binding_missing_only,binding_freeze|exact_string_anchor|output_shape_anchor,none,true,ready_after_binding_contract,,none,none
leaf_webhook_consent_state_ack,codex_variant_closure_candidate,variant_key_missing_only,variant_key_freeze|exact_string_anchor|output_shape_anchor,none,true,ready_after_variant_keying,,none,none
leaf_line_renderer_service_ack,codex_variant_closure_candidate,variant_key_missing_only,variant_key_freeze|exact_string_anchor|route_contract_anchor,none,true,ready_after_variant_keying,,none,none
leaf_region_prompt_or_validation,codex_variant_closure_candidate,variant_key_missing_only,variant_key_freeze|exact_string_anchor|output_shape_anchor|route_contract_anchor,none,true,ready_after_variant_keying,,none,none
leaf_region_state_ack,codex_variant_closure_candidate,binding_and_variant_missing,binding_freeze|variant_key_freeze|exact_string_anchor|output_shape_anchor|route_contract_anchor,none,true,ready_after_variant_keying,,none,none
leaf_paid_readiness_clarify_default,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|output_shape_anchor|route_contract_anchor,none,true,ready_literal_now,,none,none
leaf_paid_readiness_refuse_default,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|output_shape_anchor|route_contract_anchor,none,true,ready_literal_now,,none,none
leaf_paid_readiness_hedge_suffix,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|output_shape_anchor|route_contract_anchor,none,true,ready_literal_now,,none,none
leaf_paid_finalizer_fallback,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|output_shape_anchor,none,true,ready_literal_now,,none,none
leaf_paid_finalizer_refuse,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor,none,true,ready_literal_now,,none,none
leaf_webhook_guard_missing_reply_fallback,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|output_shape_anchor,none,true,ready_literal_now,,none,none
leaf_webhook_low_relevance_clarify,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor,none,true,ready_literal_now,,none,none
leaf_webhook_retrieval_failure_fallback,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|output_shape_anchor,none,true,ready_literal_now,,none,none
leaf_webhook_readiness_clarify,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor,none,true,ready_literal_now,,none,none
leaf_webhook_readiness_refuse,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor,none,true,ready_literal_now,,none,none
leaf_webhook_synthetic_ack,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor,none,true,ready_literal_now,,none,none
leaf_welcome_message,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|route_contract_anchor,none,true,ready_literal_now,,none,none
leaf_line_renderer_overflow_summary,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|route_contract_anchor,none,true,ready_literal_now,,none,none
leaf_line_renderer_deeplink_generic,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|route_contract_anchor,none,true,ready_literal_now,,none,none
leaf_line_renderer_render_failure,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|route_contract_anchor,none,true,ready_literal_now,,none,none
leaf_citypack_feedback_received,codex_test_anchor_closure_candidate,weak_exact_string_anchor,exact_string_anchor|output_shape_anchor|route_contract_anchor,none,true,ready_literal_now,,none,none
