leaf_id,generation_allowed,human_review_required,shadow_excluded,claim_boundary_class,tone_boundary_class,downstream_contract_class,notes
leaf_faq_admin_disclaimer,true,true,false,multi_domain_human_review,disclaimer,disclaimer_block,
leaf_faq_admin_block_actions,true,true,false,multi_domain_human_review,cta,unknown_shape,Output shape remains HTTP JSON action-label array rather than LINE-native buttons.
leaf_faq_admin_readiness_clarify,true,true,false,multi_domain_human_review,warning,clarify_prompt,
leaf_faq_admin_readiness_refuse,true,true,false,multi_domain_human_review,warning,refuse_text,
leaf_faq_admin_readiness_hedge,true,true,false,multi_domain_human_review,warning,disclaimer_block,
leaf_faq_compat_disclaimer,true,true,false,multi_domain_human_review,disclaimer,disclaimer_block,
leaf_faq_compat_block_actions,true,true,false,multi_domain_human_review,cta,unknown_shape,Output shape remains HTTP JSON action-label array rather than LINE-native buttons.
leaf_faq_compat_readiness_clarify,true,true,false,multi_domain_human_review,warning,clarify_prompt,
leaf_faq_compat_readiness_refuse,true,true,false,multi_domain_human_review,warning,refuse_text,
leaf_faq_compat_readiness_hedge,true,true,false,multi_domain_human_review,warning,disclaimer_block,
leaf_free_retrieval_empty_reply,true,false,false,route_specific_fixed_copy,fallback,fallback_text,
leaf_free_retrieval_ranked_reply,true,true,false,multi_domain_human_review,faq,ranked_answer_with_candidates,
leaf_free_style_quick,true,false,false,route_specific_fixed_copy,faq,plain_text_answer,
leaf_free_style_coach,true,false,false,route_specific_fixed_copy,faq,plain_text_answer,
leaf_free_style_checklist,true,false,false,route_specific_fixed_copy,faq,plain_text_answer,
leaf_free_style_choice,true,true,false,multi_domain_human_review,faq,plain_text_answer,
leaf_free_style_debug,true,true,false,multi_domain_human_review,faq,plain_text_answer,
leaf_free_style_timeline,true,false,false,route_specific_fixed_copy,faq,plain_text_answer,
leaf_free_style_weekend,true,false,false,route_specific_fixed_copy,faq,plain_text_answer,
leaf_free_style_story,true,true,false,multi_domain_human_review,faq,plain_text_answer,
leaf_free_contextual_followup,true,true,false,multi_domain_human_review,faq,plain_text_answer,Human review remains required because domain claim boundaries live inside one current family.
leaf_paid_casual,true,true,false,multi_domain_human_review,fallback,plain_text_answer,
leaf_paid_domain_concierge,true,true,false,multi_domain_human_review,faq,plain_text_answer,
leaf_runtime_knowledge_fallback,true,true,false,multi_domain_human_review,fallback,fallback_text,
leaf_paid_conversation_format_shell,true,false,false,route_specific_fixed_copy,faq,plain_text_answer,
leaf_paid_reply_guard_defaults,true,false,false,route_specific_fixed_copy,fallback,fallback_text,
leaf_paid_disclaimer,true,true,false,multi_domain_human_review,disclaimer,disclaimer_block,
leaf_paid_readiness_clarify_default,true,false,false,route_specific_fixed_copy,warning,clarify_prompt,
leaf_paid_readiness_refuse_default,true,false,false,route_specific_fixed_copy,warning,refuse_text,
leaf_paid_readiness_hedge_suffix,true,false,false,route_specific_fixed_copy,warning,disclaimer_block,
leaf_paid_safety_core_facts_clarify,true,true,false,multi_domain_human_review,clarify,clarify_prompt,
leaf_paid_verify_candidate_clarify,true,true,false,multi_domain_human_review,clarify,clarify_prompt,
leaf_paid_finalizer_fallback,true,false,false,route_specific_fixed_copy,fallback,fallback_text,
leaf_paid_finalizer_clarify,true,true,false,multi_domain_human_review,clarify,clarify_prompt,
leaf_paid_finalizer_refuse,true,false,false,route_specific_fixed_copy,warning,refuse_text,
leaf_webhook_guard_missing_reply_fallback,true,false,false,route_specific_fixed_copy,fallback,fallback_text,
leaf_webhook_low_relevance_clarify,true,false,false,route_specific_fixed_copy,clarify,clarify_prompt,
leaf_webhook_retrieval_failure_fallback,true,false,false,route_specific_fixed_copy,fallback,fallback_text,
leaf_webhook_readiness_clarify,true,false,false,route_specific_fixed_copy,warning,clarify_prompt,
leaf_webhook_readiness_refuse,true,false,false,route_specific_fixed_copy,warning,refuse_text,
leaf_webhook_synthetic_ack,true,false,false,route_specific_fixed_copy,fallback,command_ack,
leaf_webhook_consent_state_ack,true,false,false,route_specific_fixed_copy,fallback,consent_ack,
leaf_webhook_direct_command_ack,true,false,false,route_specific_fixed_copy,fallback,command_ack,
leaf_welcome_message,true,false,false,route_specific_fixed_copy,notification,welcome_text,
leaf_line_renderer_overflow_summary,true,false,false,route_specific_fixed_copy,fallback,renderer_default_text,
leaf_line_renderer_deeplink_with_url,true,false,false,route_specific_fixed_copy,fallback,renderer_default_text,
leaf_line_renderer_deeplink_generic,true,false,false,route_specific_fixed_copy,fallback,renderer_default_text,
leaf_line_renderer_service_ack,true,false,false,route_specific_fixed_copy,fallback,renderer_default_text,
